Idade,Gênero,Horas de Uso de Tecnologia,Horas de Uso de Redes Sociais,Horas de Jogos,Horas de Tempo na Tela,Status de Saúde Mental,Nivel_Estresse,Horas de Sono,Horas de Atividade Física,Acesso a Sistemas de Suporte,Impacto do Ambiente de Trabalho,Uso de Suporte Online,Faixa_Etaria,Estresse_Score,Alerta_Saude
23,Feminino,6.57,6.0,0.68,12.36,Bom,Baixo,8.01,6.71,Não,Negativo,Sim,18-25,1,Não
21,Masculino,3.01,2.57,3.74,7.61,Ruim,Alto,7.28,5.88,Sim,Positivo,Não,18-25,3,Não
51,Masculino,3.04,6.14,1.26,3.16,Regular,Alto,8.04,9.81,Não,Negativo,Não,41-60,3,Não
25,Feminino,3.84,4.48,2.59,13.08,Excelente,Médio,5.62,5.28,Sim,Negativo,Sim,18-25,2,Sim
53,Masculino,1.2,0.56,0.29,12.63,Bom,Baixo,5.55,4.0,Não,Positivo,Sim,41-60,1,Sim
58,Masculino,5.59,5.74,0.11,1.34,Ruim,Baixo,8.61,6.54,Sim,Neutro,Sim,41-60,1,Não
63,Feminino,3.38,2.55,3.79,9.78,Excelente,Médio,8.61,1.34,Sim,Neutro,Não,60+,2,Não
51,Feminino,7.18,4.1,4.74,8.14,Excelente,Médio,7.11,5.27,Sim,Neutro,Não,41-60,2,Não
57,Outro,10.86,4.11,0.08,6.02,Regular,Médio,7.19,5.22,Não,Positivo,Não,41-60,2,Não
31,Outro,4.3,7.23,0.81,6.87,Excelente,Alto,5.09,0.47,Não,Positivo,Não,26-40,3,Não
53,Outro,4.78,3.94,1.88,14.87,Ruim,Alto,5.13,3.01,Sim,Neutro,Não,41-60,3,Sim
64,Outro,4.83,4.85,1.68,13.68,Regular,Baixo,8.57,6.35,Não,Neutro,Sim,60+,1,Não
40,Feminino,3.06,4.06,2.54,10.65,Ruim,Alto,7.9,0.49,Sim,Negativo,Sim,26-40,3,Não
24,Outro,5.82,5.22,3.3,1.65,Excelente,Alto,4.82,7.15,Não,Positivo,Não,18-25,3,Não
38,Feminino,10.48,4.53,0.94,10.27,Ruim,Alto,7.13,7.14,Sim,Negativo,Não,26-40,3,Não
53,Masculino,7.51,0.21,4.17,5.08,Bom,Médio,8.53,5.05,Sim,Negativo,Não,41-60,2,Não
26,Feminino,6.4,5.4,4.76,11.4,Regular,Alto,4.62,9.65,Sim,Neutro,Sim,26-40,3,Sim
55,Feminino,2.03,6.56,2.01,14.88,Regular,Baixo,8.95,8.96,Sim,Negativo,Não,41-60,1,Não
55,Masculino,2.94,0.61,2.13,11.49,Excelente,Alto,7.71,7.51,Sim,Neutro,Não,41-60,3,Não
37,Outro,10.74,3.85,1.29,6.0,Bom,Médio,5.69,7.77,Sim,Positivo,Não,26-40,2,Não
57,Feminino,7.69,7.33,3.16,9.55,Regular,Baixo,7.07,5.65,Sim,Neutro,Não,41-60,1,Não
34,Masculino,8.44,1.14,2.28,1.51,Regular,Alto,4.76,0.06,Não,Negativo,Sim,26-40,3,Não
38,Feminino,1.27,1.22,2.92,2.83,Ruim,Baixo,4.01,6.48,Não,Neutro,Sim,26-40,1,Não
39,Masculino,2.06,5.99,3.96,9.8,Excelente,Baixo,5.83,7.59,Sim,Negativo,Sim,26-40,1,Sim
42,Outro,6.23,3.88,1.52,14.16,Ruim,Médio,5.73,8.7,Não,Positivo,Sim,41-60,2,Sim
27,Outro,7.39,4.15,0.19,3.03,Ruim,Médio,4.85,0.34,Sim,Positivo,Sim,26-40,2,Não
23,Masculino,2.2,0.06,2.49,12.79,Ruim,Médio,5.33,6.55,Não,Positivo,Sim,18-25,2,Sim
50,Feminino,1.16,0.51,3.2,14.72,Bom,Alto,8.37,4.97,Não,Neutro,Sim,41-60,3,Não
60,Outro,5.92,7.43,2.17,5.36,Excelente,Baixo,5.36,9.87,Não,Negativo,Não,41-60,1,Não
20,Feminino,3.65,7.48,0.32,1.63,Excelente,Médio,8.01,9.28,Sim,Neutro,Não,18-25,2,Não
40,Feminino,5.98,4.07,2.18,8.48,Regular,Baixo,8.27,9.78,Sim,Positivo,Não,26-40,1,Não
29,Feminino,11.8,6.11,2.86,8.05,Regular,Médio,6.24,9.74,Não,Positivo,Sim,26-40,2,Não
55,Feminino,11.51,1.42,2.47,5.32,Ruim,Alto,4.4,3.69,Não,Negativo,Não,41-60,3,Não
30,Masculino,1.33,3.53,3.53,2.41,Bom,Baixo,5.02,7.84,Não,Negativo,Sim,26-40,1,Não
47,Masculino,9.91,4.52,0.61,1.69,Regular,Baixo,7.1,7.99,Sim,Neutro,Não,41-60,1,Não
37,Masculino,5.66,7.42,1.75,13.89,Ruim,Baixo,5.77,8.17,Sim,Negativo,Não,26-40,1,Sim
41,Outro,11.76,6.25,0.9,11.1,Ruim,Baixo,7.98,0.74,Sim,Positivo,Não,41-60,1,Não
44,Feminino,6.65,4.66,1.1,12.79,Bom,Baixo,4.47,4.69,Não,Positivo,Sim,41-60,1,Sim
23,Masculino,10.87,2.98,4.69,5.37,Excelente,Baixo,4.7,2.25,Sim,Positivo,Sim,18-25,1,Não
21,Outro,10.43,2.2,2.64,14.2,Bom,Alto,6.98,5.61,Sim,Neutro,Não,18-25,3,Não
48,Masculino,7.05,1.62,3.62,1.22,Regular,Baixo,6.7,5.26,Sim,Neutro,Sim,41-60,1,Não
57,Masculino,1.04,1.95,2.46,13.84,Excelente,Médio,7.59,8.4,Não,Negativo,Sim,41-60,2,Não
47,Outro,10.6,6.15,2.95,14.35,Excelente,Alto,5.0,4.1,Não,Neutro,Sim,41-60,3,Sim
50,Masculino,4.45,4.5,0.81,14.03,Bom,Baixo,5.73,3.62,Sim,Negativo,Sim,41-60,1,Sim
24,Outro,7.0,4.06,0.73,8.14,Ruim,Alto,8.47,2.28,Sim,Neutro,Não,18-25,3,Não
23,Feminino,2.06,5.93,1.97,8.76,Excelente,Alto,4.46,0.9,Sim,Neutro,Não,18-25,3,Sim
30,Feminino,3.34,4.26,2.33,2.75,Bom,Médio,4.38,1.48,Sim,Positivo,Não,26-40,2,Não
30,Outro,6.01,1.5,4.85,1.78,Excelente,Médio,6.58,3.3,Não,Negativo,Não,26-40,2,Não
